feedback,sentiment,topics
"Qutie satisfied with blling, suport",4,"blling, suport"
...Excellent... with pricing,5,pricing
Below average!!! with delivery,2,delivery
"well, Not great tbh with suport, Product Quality",2,"suport, Product Quality"
"Nice support with billing, DELIVERY",4,"billing, DELIVERY"
"Neutral with BILLING, delivry",3,"BILLING, delivry"
"VERY HAPPY with SUPPORT, billng",5,"SUPPORT, billng"
"...Complteely dissatisfied... with product qlty, princing",1,"product qlty, princing"
VERY HAPPY with Ux,5,Ux
...Could beb etter... with Support,2,Support
"Terrible experience!!! with dilivery, billng",1,"dilivery, billng"
"CMOPLETELY DISSATISFIED with UXx, pruduct quality",1,"UXx, pruduct quality"
"Average service with pruduct quality, Pricing",3,"pruduct quality, Pricing"
Not great!!! with delivry,2,delivry
"Okay experience :) with Delivery, support",3,"Delivery, support"
"well, Terrible experience tbh with sapport, PRICING",1,"sapport, PRICING"
"below average with delivry, blling",2,"delivry, blling"
outtsanding service with delivery,5,delivery
Very poor service!!! with billing,1,billing
"Belowa verage with billng, prizing",2,"billng, prizing"
Very poor service with uX,1,uX
"very poor service with delivery, blling",1,"delivery, blling"
"Very happy with delivery, billing",5,"delivery, billing"
nice support with PRICING,4,PRICING
"well, Average service tbh with prizing, dilivery",3,"prizing, dilivery"
...Below average... with uX,2,uX
"Average service with Billing, Product Quality",3,"Billing, Product Quality"
Terrible experience with PRODUCT QUALITY,1,PRODUCT QUALITY
Nice support with suport,4,suport
"well, Very happy tbh with Product Quality",5,Product Quality
Not great with delivry,2,delivry
"very happy with blling, uX",5,"blling, uX"
"well, Nice support tbh with UX, SUPPORT",4,"UX, SUPPORT"
Not greta with pruduct quality,2,pruduct quality
"Outtsanding service with pruduct quality, BILLING",5,"pruduct quality, BILLING"
"COULD BE BETTER with UXx, delivry",2,"UXx, delivry"
Excellent with princing,5,princing
"...Excellent... with sapport, product quality",5,"sapport, product quality"
"COMPLETELY DISSTAISFIED with PRICING, product qlty",1,"PRICING, product qlty"
"well, Very poor service tbh with uX",1,uX
"could be better with ux, dilivery",2,"ux, dilivery"
outstanding esrvice with PRODUCT QUALITY,5,PRODUCT QUALITY
"well, Terrible experience tbh with SUPPORT",1,SUPPORT
NEURTAL with delivery,3,delivery
"...Outstanding serviec... with Billing, UXx",5,"Billing, UXx"
"Completely dissatisfied with UXx, pruduct quality",1,"UXx, pruduct quality"
BELOW AVEARGE with BILLING,2,BILLING
"wlel, Very poor service tbh with delivry",1,delivry
nice spuport with DELIVERY,4,DELIVERY
Quite satisfied with product qlty,4,product qlty
"well, Below averaget bh with sapport, princing",2,"sapport, princing"
"Below average!!! with pricing, ux",2,"pricing, ux"
"well, Average service tbh with Pricing, delivry",3,"Pricing, delivry"
"GOOD EXPEIRENCE with blling, prizing",4,"blling, prizing"
"Not great with Pricing, suport",2,"Pricing, suport"
"eNutral with Pricing, delivry",3,"Pricing, delivry"
"...Nice support... with blling, product qlty",4,"blling, product qlty"
"Below average with product qlty, delivery",2,"product qlty, delivery"
QUITE SATISFIED with SUPPORT,4,SUPPORT
"Terrible epxerience with Ux, delivery",1,"Ux, delivery"
"nice support with pruduct quality, PRICING",4,"pruduct quality, PRICING"
VERY HAPPY with DELIVERY,5,DELIVERY
"well, Goo dexperience tbh with Pricing, DELIVERY",4,"Pricing, DELIVERY"
Not great with SUPPORT,2,SUPPORT
"ewll, Outstanding service tbh with princing",5,princing
Ver yhappy!!! with suport,5,suport
"well, Terrible experinece tbh with product qlty, BILLING",1,"product qlty, BILLING"
"well, Not great tbh with suport",2,suport
could be better with Pricing,2,Pricing
"Okay experiecne :) with Product Quality, Support",3,"Product Quality, Support"
Not great!!! with prizing,2,prizing
Very happy with support,5,support
Completely dissatisfied with billing,1,billing
Average service!!! with delivry,3,delivry
OMG Very poor esrvice :( with billng,1,billng
"Excellent with Ux, prizing",5,"Ux, prizing"
"Excellent with suport, Ux",5,"suport, Ux"
"Completely dissatisfied!!! with suport, blling",1,"suport, blling"
"OUTSTANDING SERVICE with pricing, sapport",5,"pricing, sapport"
"well, Very poor service tbh with uX, pruduct quality",1,"uX, pruduct quality"
BEOLW AVERAGE with Product Quality,2,Product Quality
outstanding service with BILLING,5,BILLING
"Nice support with princing, delivery",4,"princing, delivery"
terrible experience with Pricing,1,Pricing
"...Below average... with billng, Support",2,"billng, Support"
Good experience with prizing,4,prizing
"Okay exeprience with Product Quality, Delivery",3,"Product Quality, Delivery"
etrrible experience with UX,1,UX
Quite satisfied with sapport,4,sapport
"VERY POOR SERVICE with uX, delivery",1,"uX, delivery"
"well, Neutral tbh with DELIVERY",3,DELIVERY
Could be better with suport,2,suport
Very happy with UXx,5,UXx
"well, Completely dissatisfied tbh with delivery",1,delivery
"AVERAGE SERVICE with Pricing, delivery",3,"Pricing, delivery"
"nice support with PRODUCT QUALITY, UX",4,"PRODUCT QUALITY, UX"
"Average service!!! with princing, DELIVERY",3,"princing, DELIVERY"
Outstanding service :) with Support,5,Support
"Neutral!!! with Ux, billng",3,"Ux, billng"
"OMG Terrible experience :( with ux, PRICING",1,"ux, PRICING"
COULD BE BETTER with product quality,2,product quality
"OKAY EXPERIENCE with delivry, Product Quality",3,"delivry, Product Quality"
OMG Not great :( with Product Quality,2,Product Quality
Not great with Pricing,2,Pricing
Very poo rservice with Pricing,1,Pricing
"Very happy!!! with Pricing, ux",5,"Pricing, ux"
"terrible experinece with PRICING, pruduct quality",1,"PRICING, pruduct quality"
quite satisfied with product quality,4,product quality
"well, Good experience tbh with billng, delivery",4,"billng, delivery"
OUTSTANDING SERVICE with PRODUCT QUALITY,5,PRODUCT QUALITY
"Terrible experience!!! with delivery, suport",1,"delivery, suport"
"well, Average service tbh with Pricing",3,Pricing
"...Terrible experience... with UXx, delivery",1,"UXx, delivery"
"TERRIBLE EXPERIENCE with suport, BILLING",1,"suport, BILLING"
Neutral: ) with billng,3,billng
"well, Completely dissatisfied tbh with sapport",1,sapport
TERRIBLE EXPERIENCE with Ux,1,Ux
"well ,Nice support tbh with billing",4,billing
average serviec with DELIVERY,3,DELIVERY
"NICE SUPPORT with Delivery, UXx",4,"Delivery, UXx"
...Below avergae... with princing,2,princing
"well, Good expeirence tbh with product quality, Pricing",4,"product quality, Pricing"
"Veryh appy :) with Product Quality, SUPPORT",5,"Product Quality, SUPPORT"
"Could be better with dilivery, BILLING",2,"dilivery, BILLING"
Excellent!!! with billing,5,billing
"completely dissatisfied with princing, PRODUCT QUALITY",1,"princing, PRODUCT QUALITY"
"Average service with UXx, BILLING",3,"UXx, BILLING"
Average service with UX,3,UX
"excellent with delivery, product qlty",5,"delivery, product qlty"
Terrible experience with suport,1,suport
"Quite satisfied with product quality, billing",4,"product quality, billing"
"...Could be better... with Pricing, UX",2,"Pricing, UX"
"Nice uspport :) with prizing, support",4,"prizing, support"
"Nice support with Billing, sapport",4,"Billing, sapport"
"Very happy with support, blling",5,"support, blling"
Quite satisfied!!! with billng,4,billng
"Below averag!e!! with Product Quality, UXx",2,"Product Quality, UXx"
Veryp oor service with blling,1,blling
"Neutral!!! with princing, support",3,"princing, support"
Below average with product quality,2,product quality
excellent with Ux,5,Ux
"...Very happy... with Delivery, SUPPORT",5,"Delivery, SUPPORT"
outstanding service with dilivery,5,dilivery
completely dissatisfied with SUPPORT,1,SUPPORT
Neutral :) with DELIVERY,3,DELIVERY
"well, Good epxerience tbh with prizing",4,prizing
"Below average!!! with pruduct quality, billing",2,"pruduct quality, billing"
"Belowa verage with PRICING, billing",2,"PRICING, billing"
could be better with delivery,2,delivery
"Not great!!! with pruduct quality, billng",2,"pruduct quality, billng"
...Terrible experience... with Ux,1,Ux
Terrible expreience!!! with billing,1,billing
"well ,Neutral tbh with Ux",3,Ux
...Outstanding service... with Support,5,Support
"Very happy!!! with dilivery, ux",5,"dilivery, ux"
"..O.utstanding service... with billng, PRICING",5,"billng, PRICING"
Neutral with Billing,3,Billing
"well, Neutral tbh with ux",3,ux
"Below avreage with DELIVERY, pruduct quality",2,"DELIVERY, pruduct quality"
Not great with pricing,2,pricing
...vAerage service... with dilivery,3,dilivery
"Completely idssatisfied with pruduct quality, blling",1,"pruduct quality, blling"
VERY HAPPY with support,5,support
Outstanding service :) with dilivery,5,dilivery
Outstanding service!!! with product qlty,5,product qlty
quiet satisfied with prizing,4,prizing
"Neutral with product quality, uX",3,"product quality, uX"
"Not great with prizing, pruduct quality",2,"prizing, pruduct quality"
"AVERAGE SERVICE with BILLING, product quality",3,"BILLING, product quality"
Excellnet with UXx,5,UXx
"Average service with UX, prizing",3,"UX, prizing"
"well, Neutral tbh with prizing",3,prizing
"Belwo average!!! with suport, PRODUCT QUALITY",2,"suport, PRODUCT QUALITY"
"...Not great... with PRICING, billing",2,"PRICING, billing"
"Average service with prizing, ux",3,"prizing, ux"
"well, Terrible experience tbh with suport",1,suport
godo experience with billng,4,billng
OKAY EXPERIENEC with princing,3,princing
"well, Average esrvice tbh with Ux, dilivery",3,"Ux, dilivery"
"VERY POOR SERVICE with SUPPORT, delivery",1,"SUPPORT, delivery"
"EXCELLENT with pruduct quality, dilivery",5,"pruduct quality, dilivery"
"Okay experience!!! with delivery, billing",3,"delivery, billing"
good expeirence with suport,4,suport
GOOD EXEPRIENCE with product quality,4,product quality
"okay xeperience with UXx, delivry",3,"UXx, delivry"
"well, Below average tbh with BILLING",2,BILLING
"well, Belwo average tbh with Billing",2,Billing
"Could be better!!! with UX, prizing",2,"UX, prizing"
"Terrible experience with sapport, UXx",1,"sapport, UXx"
terrible experience with Billing,1,Billing
Could be better!!! with product quality,2,product quality
Neutral with sapport,3,sapport
Good experience with UX,4,UX
"Outstanding service :) with Support, uX",5,"Support, uX"
...Average sevrice... with DELIVERY,3,DELIVERY
NEUTRLA with product qlty,3,product qlty
"terrible experience with blling, suport",1,"blling, suport"
Goode xperience!!! with UX,4,UX
Nice support with ux,4,ux
"GOOD EXPERIENCE with billng, DELIVERY",4,"billng, DELIVERY"
